date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:18	406/406	---M--	302	error ('Found')	text/html	date:Mon,%2028%20Nov%202022%2015:10:18%20GMT	https://www.routenote.com/_assets/icons/header-arrow-blue.svg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/icons/header-arrow-blue.18.delayed	(from https://www.routenote.com/rnb_app.css)
20:40:19	4687520/4687520	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/contact/contact-google-maps-routenote.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/contact/contact-google-maps-routenote.png	(from https://www.routenote.com/rnb_app.css)
20:40:21	202659/202659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-luke-moss.jpg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-luke-moss.jpg	(from https://www.routenote.com/rnb_app.css)
20:40:21	165611/165611	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-oh.jpg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-oh.jpg	(from https://www.routenote.com/rnb_app.css)
20:40:22	2033711/2033711	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-nana-darby.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-nana-darby.png	(from https://www.routenote.com/rnb_app.css)
20:40:23	2112151/2112151	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-tinnedfruit.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-tinnedfruit.png	(from https://www.routenote.com/rnb_app.css)
20:40:23	139508/139508	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-sam-brockington.jpg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-sam-brockington.jpg	(from https://www.routenote.com/rnb_app.css)
20:40:24	150043/150043	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-school-disco.jpg	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-school-disco.jpg	(from https://www.routenote.com/rnb_app.css)
20:40:24	1989782/1989782	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:54%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-soot-sprite.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-soot-sprite.png	(from https://www.routenote.com/rnb_app.css)
20:40:25	2083025/2083025	---M--	200	added ('OK')	image/png	date:Wed,%2005%20May%202021%2015:38:52%20GMT	https://www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-slightly.png	C:/My%20Web%20Sites/Routenote%20website/www.routenote.com/_assets/home/routenote-sessions/routenote-sessions-slightly.png	(from https://www.routenote.com/rnb_app.css)
